v: 52670, e: 3393779, e/v: 64.434764, e/m: 5554.466448, v/(e/m): 9.482459
v: 16002, e: 959050, e/v: 59.933133, e/m: 1642.208904, v/(e/m): 9.744193
v: 18090, e: 165972, e/v: 9.174793, e/m: 1747.073684, v/(e/m): 10.354457
v: 49062, e: 2888482, e/v: 58.874118, e/m: 4513.253125, v/(e/m): 10.870651
v: 702, e: 122114, e/v: 173.951567, e/m: 79.604954, v/(e/m): 8.818547
v: 46872, e: 8244676, e/v: 175.897679, e/m: 4552.554390, v/(e/m): 10.295758
v: 1, e: 0, e/v: 0.000000, e/m: 0.000000, v/(e/m): inf
v: 3306, e: 427752, e/v: 129.386570, e/m: 374.236220, v/(e/m): 8.833993
v: 1056, e: 99334, e/v: 94.066288, e/m: 107.854506, v/(e/m): 9.790968
v: 7140, e: 735115, e/v: 102.957283, e/m: 765.744792, v/(e/m): 9.324255
v: 56, e: 3724, e/v: 66.500000, e/m: 7.039698, v/(e/m): 7.954887
v: 15006, e: 2132344, e/v: 142.099427, e/m: 1635.233129, v/(e/m): 9.176673
v: 21170, e: 2528417, e/v: 119.433963, e/m: 2052.286526, v/(e/m): 10.315324
v: 28730, e: 645076, e/v: 22.453046, e/m: 2841.744493, v/(e/m): 10.109987
v: 24180, e: 3108185, e/v: 128.543631, e/m: 2516.748988, v/(e/m): 9.607633
v: 40200, e: 4583848, e/v: 114.026070, e/m: 4291.992509, v/(e/m): 9.366279
v: 25440, e: 1590686, e/v: 62.526965, e/m: 2642.335548, v/(e/m): 9.627846
v: 10100, e: 962389, e/v: 95.286040, e/m: 955.699106, v/(e/m): 10.568180
v: 812, e: 836, e/v: 1.029557, e/m: 64.307692, v/(e/m): 12.626794
v: 16512, e: 136363, e/v: 8.258418, e/m: 1662.963415, v/(e/m): 9.929262
v: 35532, e: 2141809, e/v: 60.278313, e/m: 3617.920608, v/(e/m): 9.821111
v: 14042, e: 1978631, e/v: 140.908062, e/m: 1551.867451, v/(e/m): 9.048453
v: 8930, e: 1301630, e/v: 145.759239, e/m: 915.351617, v/(e/m): 9.755814
v: 1190, e: 85675, e/v: 71.995798, e/m: 123.273381, v/(e/m): 9.653341
v: 28730, e: 3855252, e/v: 134.189071, e/m: 2907.429864, v/(e/m): 9.881580
v: 16256, e: 726158, e/v: 44.670153, e/m: 1758.251816, v/(e/m): 9.245547
v: 27722, e: 4016180, e/v: 144.873386, e/m: 2466.941032, v/(e/m): 11.237399
v: 51756, e: 8603326, e/v: 166.228573, e/m: 4866.134615, v/(e/m): 10.635957
v: 15750, e: 2467716, e/v: 156.680381, e/m: 1513.936196, v/(e/m): 10.403345
v: 8556, e: 954058, e/v: 111.507480, e/m: 922.686654, v/(e/m): 9.272921
v: 14520, e: 2091921, e/v: 144.071694, e/m: 1510.412274, v/(e/m): 9.613269
v: 26082, e: 4209677, e/v: 161.401618, e/m: 2457.488033, v/(e/m): 10.613277
v: 462, e: 65364, e/v: 141.480519, e/m: 44.135044, v/(e/m): 10.467872
v: 6642, e: 95765, e/v: 14.418097, e/m: 684.035714, v/(e/m): 9.710019
v: 19182, e: 1542471, e/v: 80.412418, e/m: 1937.777638, v/(e/m): 9.898969
v: 54522, e: 4153987, e/v: 76.189190, e/m: 5516.583001, v/(e/m): 9.883292
v: 72, e: 11393, e/v: 158.236111, e/m: 7.620736, v/(e/m): 9.447907
v: 31862, e: 523477, e/v: 16.429509, e/m: 2860.530055, v/(e/m): 11.138495
v: 4830, e: 477866, e/v: 98.937060, e/m: 479.303912, v/(e/m): 10.077114
v: 27060, e: 3467386, e/v: 128.136955, e/m: 2734.531546, v/(e/m): 9.895662
v: 650, e: 92881, e/v: 142.893846, e/m: 73.423715, v/(e/m): 8.852726
v: 156, e: 28516, e/v: 182.794872, e/m: 19.176866, v/(e/m): 8.134802
v: 58322, e: 5688835, e/v: 97.541837, e/m: 5666.170319, v/(e/m): 10.293019
v: 32942, e: 2985751, e/v: 90.636604, e/m: 3196.735546, v/(e/m): 10.304887
v: 90, e: 12531, e/v: 139.233333, e/m: 9.514806, v/(e/m): 9.458942
v: 4160, e: 413300, e/v: 99.350962, e/m: 409.613479, v/(e/m): 10.155916
v: 26732, e: 5105190, e/v: 190.976732, e/m: 2808.135314, v/(e/m): 9.519484
v: 20592, e: 2177614, e/v: 105.750486, e/m: 2058.236295, v/(e/m): 10.004682
